Provincia,Partido,,,Otros,"0,256 mbps",,,"0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,,,2 mbps,"2,2 mbps",,,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",,,"6,4 mbps",7 mbps,,,9 mbps,10 mbps,,12 mbps,13 mbps,14 mbps,,16 mbps,17 mbps,18 mbps,,20 mbps,21 mbps,,23 mbps,24 mbps,25 mbps,,"25,11 mbps","25,5 mbps",26 mbps,,31 mbps,32 mbps,,35 mbps,36 mbps,38 mbps,,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,,58 mbps,59 mbps,60 mbps,,62 mbps,64 mbps,,66 mbps,70 mbps,75 mbps,,80 mbps,82 mbps,83 mbps,,90 mbps,92 mbps,,100 mbps
,Tigre,Benavídez,6805010,,,,1,,,,,,,,,,234,,,,,28,"1,129",,,,,,,,25,,,5,,,,,7,,,,,135,,,,,"4,595",,,,,,,,1,,,,,"3,439",,,,"1,436",,,,,,,382,,1,,,,,,,"5,035"
BUENOS AIRES,Tigre,,,42,,,,,,,16,,,52,,,,,,,,,10,,,,,,35,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,018"
BUENOS AIRES,Tigre,,6805010,4,,,2,,,,75,,,3,,,105,,4,,,17,,,1,,,,868,,29,,,,,,105,,427,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,"6,483"
BUENOS AIRES,,Don Torcuato Oeste,6805010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tigre,,,31,,,,,,,83,,,,,,150,,2,,,3,131,,,,1,,,,6,,,19,,,38,,66,,,,,167,,,,,"3,211",,,,,,,,,,,,,"3,348",,,,"1,116",,,,,,,,,,,,,,,,
,,General Pacheco,6805010,,,,2,,,,96,,,,,,,,6,,,,215,,,,7,,643,,,,,73,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,,,,,,,,,"5,829"
BUENOS AIRES,Tigre,,6805010,2,,,,1,,,28,,,,,,,,,,,,,,,,,,513,,,,,,,,10,,,,,,,86,,,,,,,,,,,,,,,,,,"2,869",,,,"1,322",,,,,,,269,,,,,,,,,"3,144"
BUENOS AIRES,,Nordelta,6805010,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,16,,,,,,,,1,,,,,137,,,,,,,,,,,,,,,,,,"2,056",,,,,,,,,,,,,,,,,,,,
,,Otros,Sin Datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tigre,Ricardo Rojas,,"1,075",,,,,,,1,,,,,,,,,,,,19,,,,,,275,,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,"2,145"
BUENOS AIRES,Tigre,,,34,,,,,,,76,,,5,,,132,,,,,6,,,,,,,803,,13,,,,,,49,,520,,,,,,,,,,,,,,,,,,,,,,,"3,059",,,,"1,010",,,,,,,323,,,,,,,,,"3,793"
,Tigre,Tigre,6805010,,,,5,,,3,,,,29,,,310,,,,,3,581,,1,,4,,286,,38,,,7,,,,,160,,,,,319,,,,,"2,715",,,,,,,,,,,,,"5,213",,,,686,,,,,,,,,,,,,,,,
BUENOS AIRES,,General Conesa,6812010,9,,,,,,,,,,,,,,,,193,,,88,,,,5,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tordillo,,6812010,5,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tornquist,Saldungaray,6819020,,,,,,,,,,,,,,,,,,,,,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tornquist,,,,,,,,,,,,,,,,,,,,,,,,,,424,,,,47,,,520,,,,,15,,,,,,,,,,96,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tornquist,Tornquist,,1,,,,,,,,,,,,,,,36,,,,,,,,32,,,,,,,300,,,,,2,,,,,,,,,,354,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,
,,Villa Serrana La Gruta,6819060,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Villa Ventana,6819070,,,,,,,,,,,,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Trenque Lauquen,,6826040,,,,,,,,,,,,,,450,,,,,850,,,,,"1,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Trenque Lauquen,,6826020,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,La Carreta,6826030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Otros,Sin Datos,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Trenque Lauquen,,,,,,,,,19,,,,,,,,,,,,,"2,826",,,,220,,"6,593",,,,,267,,,,,,,,,,574,,,,,"4,795",521,,,,,,,,,,,,502,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Trongé,6826060,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tres Arroyos,,6833020,6,,,,,,,88,,,,,,,,,131,,,145,,,,270,,190,,,,,64,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Copetonas,6833030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tres Arroyos,Lin Calel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tres Arroyos,,6833050,,,,,,,,,,,,,,,,,,,,1,,,,39,,,,115,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Orense,6833060,,,,,,,,,,,,,,,,,3,,,223,,,,118,,213,,,,,42,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Reta,6833070,,,,,,,,,,,,,,141,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tres Arroyos,,6833080,,,,,,,,,,,,,,21,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Tres Arroyos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tres Arroyos,6833100,,,,,,,36,5,,,,,,,,551,103,,,,,,,,,981,,,,,604,,,15,,,,,,,,,,,,"1,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,931"
BUENOS AIRES,Tres De Febrero,,6840010,1,,,,,,,6,,,,,,,,,,,,,,,,,,23,,,,,,,,3,,,,,,,11,,,,,,,,,,,,,,,,,,197,,,,264,,,,,,,57,,,,,,,,,366
BUENOS AIRES,,Caseros,6840010,1,,,2,,,,,,,,,,236,,,,,17,687,,,,9,,"1,329",,77,,,73,,,,,"1,156",,,,,415,,,,,39,,,,,,,,,,,,,"13,195",,,,"2,348",,,,,,,,,,,,,,,,
BUENOS AIRES,,Churruca,6840010,,,,,,,,2,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,1,,,,,9,,,,,"1,550",,,,,,,,,,,,,4,,,,400,,,,,,,110,,,,,,,,,57
BUENOS AIRES,Tres De Febrero,,,,,,,,,2,44,,,,,,,,2,,,,161,,,,3,,242,,,,,8,,,56,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,"2,353"
BUENOS AIRES,Tres De Febrero,Ciudadela,,1,1,,,3,,35,17,,,2,,,45,,151,,,5,,,,,,,541,,35,,,,,,68,,292,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,,,,,,,"5,695"
,Tres De Febrero,El Libertador,6840010,,,,,,,,,,,,,,39,,,,,5,61,,,,,,118,,,,,,,,,,45,,,,,24,,,,,,,,,,,,,,,,,,33,,,,"1,157",,,,,,,,,,,,,,,,
,Tres De Febrero,Jose Ingenieros,6840010,,,,,,,,30,,,,,,19,,1,,,,32,,,,,,,,4,,1,17,,,6,,2,,,,,42,,,,,3,,,,,,,,,,,,,981,,,,149,,,,,,,35,,,,,,,,,894
BUENOS AIRES,Tres De Febrero,Loma Hermosa,,,,,,,,,86,,,,,,,,,,,,392,,,,,,456,,,,,12,,,8,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,"1,827"
BUENOS AIRES,Tres De Febrero,,6840010,,,,1,,,,26,,,,,,,,,,,1,,,,,,,100,,,,,,,,24,,,,,,,126,,,,,,,,,,,,,,,,,,"3,462",,,,500,,,,,,,162,,,,,,,,,"2,411"
,,Pablo Podestá,6840010,,,,,,,,,,,,,,210,,,,,6,225,,,,,,,,1,,,246,,,,,333,,,,,42,,,,,21,,,,,,,,,,,,,765,,,,606,,,,,,,,,,,,,,,,
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,,,,,,,,,,,,,,,50,,,,,4,40,,,,,,,,,,,2,,,3,,39,,,,,13,,,,,,,,,,,,,,,,,,"5,512",,,,812,,,,,,,192,,,,,,,,,"3,042"
,Tres De Febrero,Saenz Peña,6840010,,,,1,,,1,25,,,,,,,,1,,,,,,,,,,200,,,,,,,,31,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,"2,173"
BUENOS AIRES,Tres De Febrero,,,,,,,,,,40,,,2,,,37,,,,,5,,,,,,,206,,11,,,,,,39,,43,,,,,,,,,,,,,,,,,,,,,,,"2,812",,,,503,,,,,,,135,,,,,,,,,"2,761"
,,Villa Bosch (Est. Juan Maria Bosch),6840010,,,,,,,2,,,,,,,35,,,,,6,100,,,,1,,214,,19,,,8,,,,,42,,,,,168,,,,,"3,120",,,,,,,,,,,,,"4,303",,,,653,,,,,,,,,,,,,,,,
,Tres De Febrero,Villa Raffo,6840010,,,,,,,,,,,,,,45,,,,,1,46,,,,,,,,9,,,1,,,,,5,,,,,39,,,,,1,,,,,,,,,,,,,"1,046",,,,180,,,,,,,50,,,,,,,,,943
BUENOS AIRES,Tres Lomas,Tres Lomas,,,,,,,,,,,,,,,,,11,324,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Vicente López,Carapachay,,1,,,,,,,106,,,,,,124,,2,,,,,,,,,,352,,,,,,,,75,,,,,,,134,,,,,,,,,,,,,,,,,,"3,267",,,,299,,,,,,,63,,,,,,,,,"2,692"
,Vicente López,Florida,6861010,,,,2,,,,,,,,,,80,,,,,3,301,,,,6,,725,,72,,,45,,,,,431,,,,,458,,,,,46,,,,,,,,,,,,,"8,194",,,,667,,,,,,,,,,,,,,,,
,,Florida Oeste,6861010,,,,,,,,13,,,,,,64,,6,26,,31,56,,,,42,,,,16,,,12,,,81,,143,,,,,157,,,,,17,,,,,,,,,,,,,"4,150",,,,352,,,,,,,,,,,,,,,,
BUENOS AIRES,Vicente López,,6861010,,,,1,,,,28,,,1,,,,,2,,,,80,,,,1,,103,,,,,5,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,"2,306"
,Vicente López,Munro,6861010,,,,9,,,3,78,,,2,,,107,,21,,,10,,,,,,,484,,52,,,,,,142,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,"4,657"
BUENOS AIRES,Vicente López,Olivos,,11,,,,1,,,,,,5,,,181,,,,,11,348,,,,11,,743,,77,,,32,,,,,470,,,,,573,,,,,"1,013",,,,,,,,,,,,,"12,615",,,,981,,,,,,,,,,,,,,,,
BUENOS AIRES,Vicente López,Vicente López,,15,,,,,,,,,,,,,27,,,,,6,74,,,,11,,,,40,,,14,,,,,133,,,,,249,,,,,144,,,,,,,,,,,,,"4,771",,,,206,,,,,,,67,,,,,,,,,"5,369"
,Vicente López,Villa Adelina,6861010,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,389
,,Villa Martelli,6861010,,,,1,,,1,42,,,45,,,114,,13,47,,77,,,,,,,614,,19,,,,,,74,,321,,,,,,,,,,,,,,,,,,,,,,,"4,322",,,,369,,,,,,,84,,,,,,,,,"3,040"
BUENOS AIRES,Villa Gesell,,,1,,,,,,,,,,,,,120,,,,,33,"1,900",,"3,910",,950,,"2,463",,,,,,,,,,609,,,,,,,,,,254,,,,,,,,,,,,,473,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Villarino,,6875010,,,,,,,,,,,,,,,,,,,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country Los Medanos,6875025,,,,,,,,,,,,,,,,,,,,244,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Villarino,Juan Cousté  (Est. Algarrobo),6875040,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Villarino,Mayor Buratovich,,,,,,,,,,,,,,,,,,,,,174,,,,,,351,,,,,,,,,,48,,,,,,,,,,28,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
,,Médanos,6875060,,,,,,,,,,,,,,278,,4,,,,97,,,,182,,,,,,,335,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Villarino,,,,,,,,,,,,,1,,,,,2,31,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,"1,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Villarino,Teniente Origone,6875080,,,,,,,,,,,,,,110,,,,,49,,,,,,,9,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Zárate,Lima,,2,,,,,,,,,,,,,98,,,,,10,,,,,"1,110",,4,,,,,615,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Zárate,,,705,,,,,,,118,,,,,,701,,,,,23,471,,,,"2,053",,,,"1,242",,,"1,211",,,,,853,,,,,398,,,,,76,,,,,,,,,,,,,"7,546",,,,"2,732",,,,,,,703,,,,,,,,,"7,110"
CABA,,Ciudad Autónoma de Buenos Aires,2000010,,,,451,,,"1,307","4,434",,,329,,,,,"11,975",991,,,"13,174",,7,,"16,652",3,"51,167",5,,,,,,,"11,880",,,,,,,,,,,,"58,853",,,,,,,30,,,,,,,1,,,,,,,,,3,"30,482",,,,,,,,,"490,536"
,,Otros,Sin Datos,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Ambato,,10007030,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Ambato,El Rodeo,,47,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ambato,La Puerta,10007060,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Ambato,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Los Talas,10007100,,,,,,,,,,,15,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,Los Varela,10007110,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Ancasti,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Andalgalá,Aconquija,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andalgalá,Andalgalá,10021020,,,,1,,,,,,,,,,51,,,,,,135,,,,,,529,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andalgalá,Chaquiago,10021030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Andalgalá,El Alamito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Andalgalá,,10021070,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,La Aguada,10021080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Andalgalá,La Mesada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Belén,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,El Durazno,10035050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belén,Hualfín,10035070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Belén,Las Juntas,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Belén,Londres,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belén,Puerta de San José,10035140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Capayán,10042030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Capayán,,,,,,,1,,,,,,,,,,,,,,,107,,,,,,319,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capayán,Colonia del Valle,10042050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Capayán,Colonia Nueva Coneta,,,,,,1,,,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Capayán,,,,,,,1,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capayán,Huillapima,10042100,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,Los Angeles,10042110,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Capayán,,10042120,,,,1,1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Capayán,,10042130,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,El Pantanillo,10049020,,,,2,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,San Fernando del Valle de Catamarca,10049030,,,,1,,,,318,,,,,,853,,,,,18,,,2,,,,"2,915",,637,,,,,,,,"2,458",,,,"2,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,273"
CATAMARCA,El Alto,El Alto,,,,,,1,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,Tapso,10056050,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Fray Mamerto Esquiú,,10063050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Fray Mamerto Esquiú,La Carrera,10063050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Fray Mamerto Esquiú,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Fray Mamerto Esquiú,,10063050,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,San Antonio,10063050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
CATAMARCA,,San José,10063040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Fray Mamerto Esquiú,,10063050,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,La Paz,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quirós,10070120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,La Paz,,10070140,,,,,1,,,5,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,"1,295"
CATAMARCA,,San Antonio,10070150,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,La Merced,10077050,,,,3,1,,,5,,,,,,1,,,,,,11,,,,,,,,,,,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Paclín,,10077060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Paclín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,San Antonio,10077100,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Colpes,10084030,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Pomán,Mutquin,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Pomán,,10084070,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,San Miguel,10084090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Pomán,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Siján,10084110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,Santa María,,10091100,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA,,San José,10091140,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
